State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Meghalaya,Rice,Rabi,November,March,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Gujarat,Groundnut,Zaid,March,May,Germination,Sandy loam ideal for pod development,Moderate requirement 50-75cm,Potash 50kg/ha in deficient soils,Chlorpyrifos 20EC for white grub,Neem cake 500kg/ha at sowing,Collar rot seedling disease
Andhra Pradesh,Groundnut,Kharif,July,November,Vegetative,Red soil with calcium,Critical at pegging and pod formation,Gypsum 400kg/ha for calcium and sulphur,Imidacloprid 17.8SL for aphids and thrips,Neem cake 500kg/ha at sowing,Collar rot seedling disease
Nagaland,Fruits,Zaid,March,June,Vegetative,Well-drained loamy soil,Mulching to retain moisture,FYM 20-25 kg/tree,Neem oil,Organic mulching,Anthracnose
Jharkhand,Sugarcane,Kharif,July,September,Vegetative,Red loam with irrigation facilities,Drip or furrow irrigation methods,"Micronutrients Fe, Zn, Mn for healthy growth",Fipronil 0.3G for early shoot borer,Compost 25 tons/ha for soil enrichment,Smut producing whip-like structures
Haryana,Bajra,Zaid,February,May,Vegetative,Sandy soil,Rainfed crop,DAP 80kg/ha,Neem oil for aphids,Green manuring,Ergot
Gujarat,Groundnut,Kharif,July,November,Germination,Well-drained alluvial soil pH 6-7,4-5 irrigations in season,Low nitrogen 25kg N/ha legume,Quinalphos 25EC for leaf miner,Rhizobium culture inoculation mandatory,Rust fungal disease on leaves
Haryana,Wheat,Rabi,November,March,Flowering,Well-drained loamy soil pH 6-7.5,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",DAP 120kg/ha at sowing time,Propiconazole 25EC for rust diseases,Neem-based pesticides for pest management,Karnal bunt quarantine disease
Uttarakhand,Potato,Rabi,November,March,Sowing,Loamy soil rich in organic matter,Drip irrigation very effective,Urea in split doses total 260kg/ha,Metalaxyl+Mancozeb for late blight,Neem cake 500kg/ha at planting,Common scab in alkaline soils
Madhya Pradesh,Wheat,Zaid,February,June,Vegetative,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Tebuconazole 2DS for Karnal bunt,Azotobacter biofertilizer for N fixation,Yellow rust in cool humid weather
Sikkim,Maize,Rabi,October,February,Vegetative,Sandy loam with good aeration,4-5 irrigations through growing season,Potash 60kg/ha for strong stalks,Chlorantraniliprole 18.5SC for fall armyworm,Crop rotation with legumes,Common rust orange pustules
Sikkim,Maize,Kharif,June,October,Fruiting,Well-drained loamy soil pH 5.5-7.5,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,Neem cake 200kg/ha soil application,Stalk rot weakening stems
Meghalaya,Maize,Kharif,July,September,Flowering,Alluvial soil of river basins,Critical at tasseling and silking stages,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,Vermicompost 3-4 tons/ha,Stalk rot weakening stems
Sikkim,Rice,Zaid,February,June,Vegetative,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Gujarat,Rice,Rabi,October,February,Fruiting,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Himachal Pradesh,Maize,Kharif,June,September,Fruiting,Sandy loam with good aeration,4-5 irrigations through growing season,NPK 20-20-0 at planting,Carbofuran 3G at whorl stage,Crop rotation with legumes,Charcoal rot at maturity
Maharashtra,Cotton,Zaid,March,May,Vegetative,Red soil with organic amendments,Critical at flowering and boll formation stages,Single Super Phosphate 375kg/ha for root growth,Profenofos 50EC for sucking pests,FYM 10 tons/ha before sowing,Wilt disease causing wilting and death
Meghalaya,Maize,Kharif,July,October,Sowing,Alluvial soil of river basins,Critical at tasseling and silking stages,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,Trichoderma viride for disease control,Charcoal rot at maturity
Kerala,Coconut,Kharif,June,October,Fruiting,Red loam with good drainage pH 5.5-7,High requirement 130-200cm,Rock phosphate in acidic soils,Neem oil for black headed caterpillar,Neem cake 2kg/palm,Bud rot fungal disease
Assam,Rice,Zaid,March,May,Flowering,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Arunachal Pradesh,Rice,Zaid,February,June,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Jharkhand,Rice,Zaid,March,June,Maturity,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Chhattisgarh,Oilseeds,Rabi,October,February,Germination,Sandy loam,Critical at flowering,DAP 120kg/ha,Dimethoate 30EC,Crop rotation,Alternaria blight
Odisha,Pulses,Zaid,March,May,Fruiting,Red and black soils suitable,1-2 protective irrigations,Potash 40kg/ha in deficient soils,Chlorpyrifos 20EC for various pests,Crop rotation improves soil nitrogen,Root rot in heavy soils
Kerala,Rice,Rabi,November,February,Flowering,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Haryana,Mustard,Zaid,March,May,Fruiting,Sandy loam to clay loam,"2-3 critical irrigations pre-flowering, flowering, siliqua",Boron 1kg/ha micronutrient deficiency common,Chlorpyrifos 20EC for sawfly,Vermicompost 4 tons/ha,White rust Albugo candida pustules
Nagaland,Oilseeds,Rabi,November,February,Maturity,Well-drained black soil,Low to moderate water,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,Alternaria blight
Jharkhand,Oilseeds,Zaid,March,May,Fruiting,Sandy loam,Critical at flowering,DAP 120kg/ha,Dimethoate 30EC,Neem cake 500kg/ha,Alternaria blight
Bihar,Rice,Kharif,July,October,Fruiting,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Madhya Pradesh,Gram,Rabi,October,March,Fruiting,Black soil,One irrigation at flowering,Rhizobium culture,Quinalphos for pod borer,Crop rotation,Ascochyta blight
Tamil Nadu,Coconut,Rabi,November,March,Flowering,Coastal sandy loam ideal,Rainfed in coastal belts,NPK 500:320:120 g/palm/year,Imidacloprid for mite control,Green manuring with legumes,Root wilt disease
Gujarat,Cotton,Rabi,November,February,Sowing,Red soil with organic amendments,Drip irrigation most efficient method,Single Super Phosphate 375kg/ha for root growth,Thiamethoxam 25WG systemic insecticide,Intercropping with pulses or marigold,Bacterial blight angular leaf spots
Uttar Pradesh,Sugarcane,Rabi,October,February,Fruiting,Red loam with irrigation facilities,Frequent irrigation every 7-10 days in summer,NPK 15-15-15 balanced fertilizer,Fipronil 0.3G for early shoot borer,Green manuring with leguminous crops,Yellow leaf disease phytoplasma
Punjab,Cotton,Kharif,June,October,Germination,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Chlorpyrifos 20EC broad spectrum,Bt cotton varieties for bollworm resistance,Wilt disease causing wilting and death
Himachal Pradesh,Potato,Rabi,October,March,Germination,Well-drained soil pH 5.5-6.5,Moderate requirement 50-75cm,Calcium and magnesium for quality,Mancozeb 75WP for late blight prevention,Neem cake 500kg/ha at planting,Common scab in alkaline soils
Tripura,Tea,Rabi,November,March,Maturity,Well-drained hill soil,High rainfall 200-300cm,NPK 20-10-10,Copper fungicides,Vermicompost,Die back
Assam,Fruits,Rabi,October,February,Germination,Red loam and alluvial soil,Mulching to retain moisture,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Pruning,Powdery mildew
Sikkim,Cardamom,Zaid,March,June,Sowing,Acidic well-drained soil,High rainfall crop,NPK 75:75:150,Neem oil,Mulching with leaf litter,Capsule rot
Telangana,Cotton,Zaid,February,May,Flowering,Red soil with organic amendments,Moderate requirement 70-90cm per season,Single Super Phosphate 375kg/ha for root growth,Thiamethoxam 25WG systemic insecticide,Bt cotton varieties for bollworm resistance,Wilt disease causing wilting and death
Mizoram,Orange,Rabi,October,February,Sowing,Well-drained loam,Moderate irrigation,FYM 20kg/tree,Imidacloprid for citrus psylla,Pruning and mulching,Citrus canker
Kerala,Rice,Rabi,October,February,Vegetative,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Bacterial leaf blight in warm weather
Odisha,Oilseeds,Kharif,June,September,Vegetative,Sandy loam,Critical at flowering,DAP 120kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,Alternaria blight
Uttarakhand,Wheat,Kharif,June,November,Germination,Well-drained loamy soil pH 6-7.5,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,FYM 8-10 tons/ha incorporated before sowing,Leaf blight complex
Puducherry,Fruits,Zaid,March,June,Maturity,Red loam and alluvial soil,Moderate irrigation,NPK 70:35:70 g/tree,Chlorpyrifos for fruit flies,Organic mulching,Anthracnose
Odisha,Oilseeds,Zaid,March,May,Sowing,Sandy loam,Critical at flowering,DAP 120kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,White rust
Gujarat,Bajra,Kharif,July,October,Sowing,Light loam soil,Low water requirement,Urea 60kg/ha,Neem oil for aphids,Green manuring,Ergot
Andhra Pradesh,Sugarcane,Zaid,February,May,Flowering,Alluvial soil of river valleys,Frequent irrigation every 7-10 days in summer,"Micronutrients Fe, Zn, Mn for healthy growth",Fipronil 0.3G for early shoot borer,Compost 25 tons/ha for soil enrichment,Rust fungal disease on leaves
Haryana,Wheat,Zaid,March,June,Vegetative,Clay loam in irrigated areas,Avoid water logging which causes root damage,DAP 120kg/ha at sowing time,Chlorpyrifos 20EC 2ml/L for aphid control,Crop rotation with legumes for nitrogen,Root rot in waterlogged conditions
Andhra Pradesh,Sugarcane,Zaid,February,June,Germination,Black cotton soil with good drainage,Drip or furrow irrigation methods,DAP/SSP 200kg/ha phosphorus,Carbofuran 3G systemic insecticide,Trash mulching conserves moisture,Grassy shoot disease phytoplasma
Maharashtra,Soybean,Rabi,November,March,Fruiting,Well-drained loamy soil pH 6-7.5,Moderate requirement 60-90cm,Phosphorus important DAP 200kg/ha,Chlorpyrifos 20EC broad spectrum,Crop rotation with cereals,Charcoal rot Macrophomina at maturity
Haryana,Wheat,Rabi,October,February,Maturity,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,Neem-based pesticides for pest management,Yellow rust in cool humid weather
Nagaland,Rice,Rabi,October,March,Germination,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Assam,Pulses,Rabi,November,March,Maturity,Clay loam in irrigated areas,Drought tolerant crops,Rhizobium inoculation for nitrogen,Chlorpyrifos 20EC for various pests,PSB culture for phosphorus,Wilt Fusarium various species
Haryana,Wheat,Kharif,June,November,Vegetative,Sandy loam with good organic content,Moderate requirement 45-65cm through season,Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,Neem-based pesticides for pest management,Yellow rust in cool humid weather
Kerala,Tapioca,Zaid,February,June,Vegetative,Sandy loam,Moderate rainfall,FYM 12 tons/ha,Neem oil,Organic mulching,Root rot
Assam,Pulses,Kharif,July,October,Vegetative,Well-drained loam pH 6-7.5,Critical at flowering and pod formation,Sulphur 20-30kg/ha for oilseeds,Imidacloprid 17.8SL for sucking pests,Neem-based pesticides safe,Powdery mildew white coating
Haryana,Sugarcane,Rabi,November,February,Vegetative,Red loam with irrigation facilities,Critical at tillering and grand growth phase,"Micronutrients Fe, Zn, Mn for healthy growth",Chlorpyrifos 20EC for termite and root borer,Compost 25 tons/ha for soil enrichment,Red rot most destructive disease
Goa,Cashew,Kharif,July,October,Vegetative,Sandy loam,Low to moderate,NPK 500g/tree/year,Lambda-cyhalothrin for tea mosquito bug,Organic manure,Die back
Nagaland,Maize,Rabi,October,March,Vegetative,Sandy loam with good aeration,Critical at tasseling and silking stages,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G at whorl stage,Trichoderma viride for disease control,Common rust orange pustules
Telangana,Cotton,Kharif,June,October,Maturity,Black cotton soil (Regur) ideal for cotton,Moderate requirement 70-90cm per season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Acetamiprid 20SP for whitefly and jassids,Neem oil 3% spray for sucking pests,Bacterial blight angular leaf spots
Arunachal Pradesh,Millet,Zaid,February,May,Germination,Red soil,Rainfed,DAP 60kg/ha,Neem oil,Traditional farming,Downy mildew
Meghalaya,Ginger,Kharif,July,September,Vegetative,Laterite soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Leaf spot
Karnataka,Ragi,Zaid,February,June,Maturity,Red lateritic soil,Rainfed,Urea 40kg/ha,Neem oil,Traditional crop management,Blast disease
Jammu and Kashmir,Fruits,Zaid,March,June,Germination,Red loam and alluvial soil,Moderate irrigation,FYM 20-25 kg/tree,Chlorpyrifos for fruit flies,Pruning,Powdery mildew
Odisha,Rice,Zaid,February,June,Sowing,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Bacterial leaf blight in warm weather
West Bengal,Rice,Zaid,February,June,Vegetative,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Uttar Pradesh,Rice,Rabi,November,February,Germination,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Chhattisgarh,Maize,Kharif,July,September,Vegetative,Alluvial soil of river basins,Moderate requirement 50-75cm,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,FYM 8-10 tons/ha pre-sowing,Turcicum leaf blight Northern blight
Andhra Pradesh,Chilli,Kharif,June,November,Maturity,Red loam suitable for chilli,Drip irrigation most recommended,DAP 165kg/ha at transplanting,Imidacloprid 17.8SL for thrips and mites,Vermicompost 5 tons/ha beneficial,Damping off at seedling stage
Punjab,Maize,Zaid,March,June,Germination,Alluvial soil of river basins,Critical at tasseling and silking stages,Zinc sulphate 25kg/ha in deficient soils,Cypermethrin 25EC for stem borer,Neem cake 200kg/ha soil application,Common rust orange pustules
Chhattisgarh,Rice,Kharif,June,November,Flowering,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Nagaland,Oilseeds,Rabi,October,February,Fruiting,Well-drained black soil,Low to moderate water,DAP 120kg/ha,Dimethoate 30EC,Neem cake 500kg/ha,Alternaria blight
Jammu and Kashmir,Vegetables,Kharif,June,September,Sowing,Alluvial soil rich in organic matter,Drip irrigation preferred,NPK 100:60:60 kg/ha,Neem oil for aphids,Vermicompost,Powdery mildew
Punjab,Rice,Rabi,November,March,Maturity,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
West Bengal,Jute,Kharif,July,October,Maturity,Alluvial soil of river basins,Moist soil during growth,Potash 40kg/ha,Neem-based sprays,FYM 10 tons/ha,Anthracnose
Odisha,Pulses,Zaid,March,June,Sowing,Sandy loam with moderate fertility,Drought tolerant crops,Potash 40kg/ha in deficient soils,Triazophos 40EC for caterpillars,FYM 5 tons/ha light application,Wilt Fusarium various species
Telangana,Chilli,Kharif,July,November,Fruiting,Sandy loam with organic matter,Critical at flowering and fruiting stages,High NPK 150:75:75 kg/ha requirement,Carbendazim 50WP for fruit rot,Vermicompost 5 tons/ha beneficial,Mosaic virus aphid transmitted
Odisha,Rice,Kharif,July,September,Germination,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Sheath blight in humid conditions
Rajasthan,Barley,Kharif,July,September,Fruiting,Alluvial soil,Low to moderate,DAP 100kg/ha,Propiconazole for leaf rust,Crop rotation,Stripe rust
Jammu and Kashmir,Fruits,Kharif,June,November,Germination,Red loam and alluvial soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Neem oil,Organic mulching,Powdery mildew
Jharkhand,Vegetables,Kharif,June,September,Vegetative,Well-drained loamy soil,Drip irrigation preferred,Compost and FYM 20 tons/ha,Neem oil for aphids,Vermicompost,Damping off
Nagaland,Rice,Rabi,October,March,Germination,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Puducherry,Sugarcane,Rabi,November,February,Maturity,Black cotton soil with good drainage,Drip or furrow irrigation methods,Potash 120kg/ha important for sugar content,Fipronil 0.3G for early shoot borer,Green manuring with leguminous crops,Rust fungal disease on leaves
Tripura,Vegetables,Rabi,October,February,Sowing,Alluvial soil rich in organic matter,Drip irrigation preferred,NPK 100:60:60 kg/ha,Neem oil for aphids,Vermicompost,Powdery mildew
Gujarat,Rice,Kharif,June,October,Vegetative,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Assam,Tea,Kharif,July,October,Maturity,Well-drained hill soil,Frequent light irrigation,NPK 20-10-10,Imidacloprid for tea mosquito bug,Vermicompost,Blister blight
Himachal Pradesh,Wheat,Kharif,June,November,Maturity,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,DAP 120kg/ha at sowing time,Mancozeb 75WP broad spectrum fungicide,FYM 8-10 tons/ha incorporated before sowing,Yellow rust in cool humid weather
Meghalaya,Turmeric,Kharif,June,September,Vegetative,Red soil,Moderate rainfall 100-150cm,NPK 60:50:120,Neem oil,Mulching,Rhizome rot
Meghalaya,Orange,Kharif,June,September,Sowing,Well-drained loam,Avoid waterlogging,NPK 70:35:70 g/tree,Imidacloprid for citrus psylla,Pruning and mulching,Gummosis
Madhya Pradesh,Wheat,Zaid,February,June,Maturity,Sandy loam with good organic content,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Chlorpyrifos 20EC 2ml/L for aphid control,Neem-based pesticides for pest management,Karnal bunt quarantine disease
Nagaland,Millet,Zaid,March,June,Flowering,Sandy loam,Rainfed,DAP 60kg/ha,Neem oil,Low input crop,Downy mildew
Manipur,Maize,Kharif,July,November,Germination,Alluvial soil of river basins,4-5 irrigations through growing season,Urea 250kg/ha split application,Carbofuran 3G at whorl stage,FYM 8-10 tons/ha pre-sowing,Turcicum leaf blight Northern blight
Gujarat,Rice,Rabi,November,March,Fruiting,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Nagaland,Rice,Zaid,February,May,Fruiting,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Rajasthan,Gram,Rabi,October,February,Sowing,Black soil,Low water requirement,DAP 100kg/ha,Quinalphos for pod borer,FYM 5 tons/ha,Ascochyta blight
Uttar Pradesh,Mustard,Rabi,October,March,Maturity,Sandy loam to clay loam,"2-3 critical irrigations pre-flowering, flowering, siliqua",Boron 1kg/ha micronutrient deficiency common,Dimethoate 30EC systemic for aphids,Crop rotation with cereals,Powdery mildew white coating
Telangana,Jowar,Zaid,February,June,Vegetative,Black cotton soil,Drought tolerant,Urea 80kg/ha,Neem oil,Crop rotation,Anthracnose
Tripura,Jute,Rabi,November,March,Fruiting,Alluvial soil of river basins,High rainfall crop 150-200cm,DAP 100kg/ha,Neem-based sprays,FYM 10 tons/ha,Stem rot
Punjab,Bajra,Kharif,June,November,Maturity,Sandy soil,Low water requirement,DAP 80kg/ha,Neem oil for aphids,Minimal input crop,Ergot
Meghalaya,Ginger,Rabi,October,February,Maturity,Loose loam soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Leaf spot
Nagaland,Rice,Kharif,June,November,Fruiting,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Uttar Pradesh,Pulses,Zaid,March,June,Flowering,Sandy loam with moderate fertility,Critical at flowering and pod formation,Potash 40kg/ha in deficient soils,Chlorpyrifos 20EC for various pests,Rhizobium culture seed treatment essential,Wilt Fusarium various species
Manipur,Rice,Zaid,February,May,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Brown spot causing yield reduction
Jammu and Kashmir,Fruits,Rabi,November,February,Maturity,Well-drained loamy soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Neem oil,Organic mulching,Powdery mildew
Uttar Pradesh,Wheat,Kharif,June,October,Sowing,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,Neem-based pesticides for pest management,Powdery mildew in dense canopy
Puducherry,Pulses,Rabi,October,March,Vegetative,Clay loam in irrigated areas,Critical at flowering and pod formation,Sulphur 20-30kg/ha for oilseeds,Chlorpyrifos 20EC for various pests,Rhizobium culture seed treatment essential,Rust orange pustules on leaves
Odisha,Oilseeds,Kharif,June,October,Maturity,Sandy loam,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Crop rotation,Alternaria blight
Uttar Pradesh,Wheat,Kharif,July,November,Sowing,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,FYM 8-10 tons/ha incorporated before sowing,Powdery mildew in dense canopy
Assam,Rice,Rabi,November,March,Flowering,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Madhya Pradesh,Sugarcane,Kharif,June,November,Vegetative,Red loam with irrigation facilities,Critical at tillering and grand growth phase,Potash 120kg/ha important for sugar content,Carbofuran 3G systemic insecticide,Press mud from sugar mills 10 tons/ha,Yellow leaf disease phytoplasma
Maharashtra,Sugarcane,Kharif,June,October,Vegetative,Red loam with irrigation facilities,Drip or furrow irrigation methods,DAP/SSP 200kg/ha phosphorus,Imidacloprid 17.8SL for aphids and whitefly,Trash mulching conserves moisture,Yellow leaf disease phytoplasma
Odisha,Rice,Rabi,November,February,Maturity,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Nagaland,Rice,Rabi,October,February,Flowering,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Haryana,Cotton,Kharif,June,September,Maturity,Red soil with organic amendments,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Acetamiprid 20SP for whitefly and jassids,Intercropping with pulses or marigold,Wilt disease causing wilting and death
Himachal Pradesh,Barley,Rabi,November,February,Sowing,Well-drained loam,Low to moderate,DAP 100kg/ha,Propiconazole for leaf rust,Crop rotation,Powdery mildew
Haryana,Rice,Zaid,March,May,Maturity,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Meghalaya,Maize,Kharif,June,November,Fruiting,Sandy loam with good aeration,4-5 irrigations through growing season,Urea 250kg/ha split application,Imidacloprid 70WG for aphids and leafhoppers,FYM 8-10 tons/ha pre-sowing,Maydis leaf blight causing lesions
Kerala,Rice,Rabi,October,March,Vegetative,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Tripura,Tea,Zaid,February,May,Vegetative,Well-drained hill soil,Frequent light irrigation,Ammonium sulphate,Copper fungicides,Mulching with pruned leaves,Die back
Jharkhand,Maize,Kharif,June,September,Maturity,Sandy loam with good aeration,Moderate requirement 50-75cm,DAP 150kg/ha at basal dose,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Turcicum leaf blight Northern blight
Puducherry,Rice,Zaid,February,May,Vegetative,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Rajasthan,Wheat,Rabi,October,March,Flowering,Clay loam in irrigated areas,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Muriate of Potash 40kg/ha for grain quality,Quinalphos 25EC for termite prevention,Azotobacter biofertilizer for N fixation,Powdery mildew in dense canopy
Assam,Pulses,Zaid,March,May,Vegetative,Sandy loam with moderate fertility,Critical at flowering and pod formation,Rhizobium inoculation for nitrogen,Triazophos 40EC for caterpillars,Rhizobium culture seed treatment essential,Powdery mildew white coating
